openalex_id,display_name,wikidata_id
I155781252,University of South Carolina,https://www.wikidata.org/wiki/Q1024426
I121847817,The Graduate Center CUNY,https://www.wikidata.org/wiki/Q1024543
I149919469,California Polytechnic State University,https://www.wikidata.org/wiki/Q1026846
I98947143,California State Polytechnic University,https://www.wikidata.org/wiki/Q1026868
I36053171,California State University Chico,https://www.wikidata.org/wiki/Q1026912
I67328108,California State University Fresno,https://www.wikidata.org/wiki/Q1026919
I142934699,California State University Fullerton,https://www.wikidata.org/wiki/Q1026925
I59897056,California State University Long Beach,https://www.wikidata.org/wiki/Q1026926
I27825529,California State University Los Angeles,https://www.wikidata.org/wiki/Q1026932
I157638225,California State University Northridge,https://www.wikidata.org/wiki/Q1026939
I43522216,California State University Sacramento,https://www.wikidata.org/wiki/Q1026941
I43369023,California State University San Bernardino,https://www.wikidata.org/wiki/Q1026944
I58956616,Case Western Reserve University,https://www.wikidata.org/wiki/Q1047060
I185103710,University of California Santa Cruz,https://www.wikidata.org/wiki/Q1047293
I19772626,Yeshiva University,https://www.wikidata.org/wiki/Q1048851
I111236770,University of Vermont,https://www.wikidata.org/wiki/Q1048898
I207123951,New Mexico Institute of Mining and Technology,https://www.wikidata.org/wiki/Q1052208
I121980950,Utah State University,https://www.wikidata.org/wiki/Q1052614
I83909951,Morgan State University,https://www.wikidata.org/wiki/Q1054905
I24306055,Suffolk University,https://www.wikidata.org/wiki/Q1056123
I26347476,Loma Linda University,https://www.wikidata.org/wiki/Q1057447
I180670191,University of California San Francisco,https://www.wikidata.org/wiki/Q1061104
I19700959,Florida International University,https://www.wikidata.org/wiki/Q1065809
I86501945,University of Delaware,https://www.wikidata.org/wiki/Q1068072
I137853757,Howard University,https://www.wikidata.org/wiki/Q1068752
I78715868,University of Arkansas at Fayetteville,https://www.wikidata.org/wiki/Q1070333
I103635307,University of California Riverside,https://www.wikidata.org/wiki/Q1075148
I4210106879,Ohio University,https://www.wikidata.org/wiki/Q1075339
I4210119109,Indiana University Bloomington,https://www.wikidata.org/wiki/Q1079140
I1304256225,University of Wisconsin System,https://www.wikidata.org/wiki/Q10814056
I4210156643,Harvard Global Health Institute,https://www.wikidata.org/wiki/Q108737243
I166722992,University of Massachusetts Chan Medical School,https://www.wikidata.org/wiki/Q108899288
I125687163,City College of New York,https://www.wikidata.org/wiki/Q1093910
I130785548,Clark University,https://www.wikidata.org/wiki/Q1095773
I102607778,Cleveland State University,https://www.wikidata.org/wiki/Q1100801
I168959743,University of America,https://www.wikidata.org/wiki/Q11050122
I167576493,Colorado School of Mines,https://www.wikidata.org/wiki/Q1111367
I92446798,Colorado State University,https://www.wikidata.org/wiki/Q1111640
I158012942,University of Richmond,https://www.wikidata.org/wiki/Q1115878
I161301626,Lehman College,https://www.wikidata.org/wiki/Q1128593
I137902535,North Carolina State University,https://www.wikidata.org/wiki/Q1132346
